participant_id,age,gender,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,engagement_fa1,engagement_fa2,engagement_fa3,engagement_fa4,engagement_fa5,engagement_pu1,engagement_pu2,engagement_pu3,engagement_ae1,engagement_ae2,engagement_ae3,engagement_ae4,engagement_rw1,engagement_rw2,engagement_rw3,narrative_quality_q1,narrative_quality_q2,narrative_quality_q3,narrative_quality_q4,narrative_quality_q5,ai_perception_q1,ai_perception_q2,ai_perception_q3,ai_perception_q4,ai_perception_q5,immersion_q1,immersion_q2,immersion_q3,open_positive,open_negative,open_suggestions
P001,28,Male,4,2,4,4,4,2,4,1,5,2,4,3,3,4,4,3,3,5,3,5,3,4,3,4,3,5,5,4,6,5,4,3,1,4,7,6,5,5,The narrative branching felt genuinely responsive to my choices. I was impressed by how the story adapted when I made unexpected decisions.,"Some dialogue transitions felt abrupt, especially when switching between characters. The conversation flow could use more smoothing.",Add a journal or codex feature that tracks story decisions and lore entries for reference.
P002,24,Female,4,3,3,3,5,3,4,2,5,3,3,3,4,5,3,3,4,4,4,4,4,5,2,3,3,4,5,6,5,5,3,4,4,4,6,6,4,5,Beautiful art style that maintained consistency throughout. The AI-generated environments had a cohesive aesthetic that really drew me in.,I noticed occasional repetition in descriptive text. Certain phrases appeared multiple times across different scenes.,Consider adding voice acting or text-to-speech for key dialogue moments.
P003,30,Male,4,3,5,1,3,1,4,3,5,2,3,4,3,5,2,4,5,4,4,4,4,5,2,5,2,5,5,6,4,5,7,3,5,4,5,5,4,6,Character dialogue felt surprisingly natural and engaging. I found myself genuinely caring about the outcomes of conversations.,The AI-generated art had minor inconsistencies in character appearances between scenes. Maintaining visual continuity needs work.,A chapter select for replaying with different choices would increase replay value significantly.
P004,36,Female,5,2,5,1,3,3,5,3,4,2,3,4,4,3,3,4,3,4,5,4,4,3,4,3,3,6,6,4,3,6,3,5,2,5,3,6,5,4,The music adaptation was a standout feature. How it shifted with story beats created an incredibly atmospheric experience.,Loading times between chapters were noticeable and broke immersion at critical story moments.,Include more visual customization options for the main character during creation.
P005,23,Female,4,3,4,3,5,1,5,2,3,1,4,5,4,5,3,4,3,4,5,4,2,4,4,4,5,4,6,6,3,5,3,4,5,3,3,5,4,4,I loved the character creation system. Being able to influence the AI narrative through my character background was a clever design choice.,Some narrative branches felt underdeveloped compared to others. The quality was uneven across different choice paths.,Add difficulty settings that affect puzzle complexity and narrative branching depth.
P006,23,Female,5,1,5,3,3,2,5,1,4,3,4,4,3,5,5,4,4,3,3,4,4,5,4,2,4,4,5,5,7,7,6,5,6,6,4,7,5,6,The pacing of the story kept me engaged throughout. Each chapter built on the last in a way that felt intentional and well-structured.,The text-heavy sections could benefit from more visual breaks. Long passages without interaction tested my attention span.,Consider implementing a relationship tracker showing how NPCs feel about the player.
P007,36,Male,5,3,5,2,4,1,4,3,4,4,4,4,3,4,5,4,4,4,3,4,5,5,4,4,4,4,6,5,5,5,2,6,4,3,5,5,7,6,World-building was rich and detailed. The lore entries generated for each area added depth without being overwhelming.,Character motivations sometimes felt unclear or contradictory. The AI occasionally lost track of established personality traits.,A save system with multiple slots would let players explore different narrative branches.
P008,30,Female,5,1,5,2,4,2,3,3,3,1,2,4,3,5,3,3,3,5,4,3,4,4,5,5,3,4,5,5,4,4,5,4,5,4,4,4,6,6,The choice system felt meaningful. I could see how my decisions rippled through the narrative in ways both subtle and dramatic.,The final chapter felt rushed compared to the deliberate pacing of earlier sections. More time for resolution would help.,Add optional side stories that expand on secondary characters and world lore.
P009,22,Male,3,1,3,2,4,1,3,1,4,2,3,4,3,4,5,5,3,4,4,3,4,5,2,3,4,5,5,5,5,4,6,6,4,5,3,6,6,5,Really enjoyed the visual storytelling elements. The scene transitions and art composition added emotional weight to key moments.,I encountered a visual glitch where background art overlapped dialogue boxes during one scene in chapter two.,Include a gallery mode to revisit AI-generated art from completed scenes.
P010,29,Male,5,2,4,1,4,2,4,2,4,3,3,2,5,5,3,4,3,4,4,4,3,3,3,3,3,4,6,6,4,5,5,5,5,5,5,4,6,6,"The game managed to create genuine tension during key story beats. I was genuinely uncertain about outcomes, which is rare in narrative games.","The ambient music occasionally looped noticeably, which slightly diminished the otherwise strong atmosphere.",Consider adding collaborative or shared narrative modes for multiplayer experiences.
