participant_id,age,gender,education,gaming_experience_years,hours_gaming_weekly,preferred_genre,preferred_art_style,narrative_importance,character_depth_importance,world_building_importance,music_importance,gameplay_over_story,ai_generated_content_comfort,ai_art_acceptance,ai_story_acceptance,preferred_game_length_minutes,multiplayer_interest,accessibility_needs,accessibility_details,open_feedback
P001,28,Male,Masters,10,22,RPG,Anime,6,5,6,3,5,6,4,5,30,5,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P002,24,Female,Masters,10,10,Puzzle,Realistic 3D,5,4,5,2,5,6,3,5,45,6,Yes,larger text options,I think AI-generated stories could be really exciting if they adapt to player choices in meaningful ways and keep the narrative fresh every playthrough.
P003,30,Male,Masters,1,21,Adventure,Anime,5,7,5,6,3,5,4,3,30,2,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P004,36,Female,Bachelors,16,11,Puzzle,Anime,5,3,6,7,2,4,6,6,45,3,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P005,23,Female,Bachelors,5,11,RPG,Anime,6,4,6,7,1,3,6,4,45,2,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P006,23,Female,High School,12,8,Action,Anime,5,5,3,6,5,7,6,6,60,3,Yes,screen reader compatibility,I am excited about AI games because they could solve the problem of repetitive content. Every session could feel genuinely new and surprising.
P007,36,Male,Bachelors,3,15,Simulation,Realistic 3D,7,7,7,6,2,4,3,6,90,3,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P008,30,Female,High School,16,11,Puzzle,Low Poly,4,5,7,6,1,5,4,7,45,5,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P009,22,Male,Bachelors,3,14,Strategy,Watercolor,5,4,4,6,5,6,4,5,60,6,No,,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P010,29,Male,Bachelors,0,3,Simulation,Pixel Art,5,7,6,5,7,5,2,5,45,6,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P011,22,Male,Bachelors,17,21,Strategy,Low Poly,7,3,6,5,4,6,5,6,60,2,No,,"The technology is promising but not there yet for full games. I would play this to see how far AI has come, but my expectations are moderate."
P012,22,Female,Bachelors,1,24,RPG,Anime,6,2,6,5,5,7,4,4,15,3,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P013,27,Female,High School,3,11,Puzzle,Low Poly,7,6,5,4,4,4,4,5,30,1,Yes,larger text options,AI art and writing still have a long way to go. I have seen too many AI artifacts and nonsensical plot points to fully trust the technology yet.
P014,18,Male,High School,21,31,Puzzle,Watercolor,4,4,4,4,4,6,3,5,45,2,No,,"If the AI can maintain consistent character personalities throughout the story while still allowing growth and change, I am fully on board."
P015,18,Male,Masters,21,27,Adventure,Anime,6,4,5,2,5,6,6,6,45,5,Yes,colorblind mode,I think AI-generated stories could be really exciting if they adapt to player choices in meaningful ways and keep the narrative fresh every playthrough.
P016,21,Male,Bachelors,6,15,Strategy,Pixel Art,7,6,7,5,4,5,4,6,15,6,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P017,18,Female,High School,7,22,Simulation,Realistic 3D,6,5,6,3,4,6,3,4,30,1,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P018,27,Male,Bachelors,4,19,Simulation,Anime,7,4,5,3,4,5,1,6,30,2,Yes,screen reader compatibility,"My concern with AI games is consistency. AI often contradicts itself in longer narratives, and that breaks immersion faster than anything else."
