participant_id,response_type,original_text,code,theme,coder
P001,positive,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,recommendation_relevance,AI Accuracy,LLM_coder_1
P001,positive,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,recommendation_relevance,AI Accuracy,LLM_coder_2
P001,negative,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,notification_effectiveness,Engagement & Motivation,LLM_coder_1
P001,negative,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,notification_effectiveness,Engagement & Motivation,LLM_coder_2
P001,suggestion,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.,data_sharing_control,Privacy,LLM_coder_1
P001,suggestion,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.,data_sharing_control,Privacy,LLM_coder_2
P002,positive,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,progress_visualization_value,Engagement & Motivation,LLM_coder_1
P002,positive,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,progress_visualization_value,Engagement & Motivation,LLM_coder_2
P002,negative,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,mobile_responsiveness,Usability,LLM_coder_1
P002,negative,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,mobile_responsiveness,Usability,LLM_coder_2
P002,suggestion,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.,data_sharing_control,Privacy,LLM_coder_1
P002,suggestion,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.,data_sharing_control,Privacy,LLM_coder_2
P003,positive,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,transparency_of_predictions,Trust & Transparency,LLM_coder_1
P003,positive,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,transparency_of_predictions,Trust & Transparency,LLM_coder_2
P003,negative,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,explainability_of_recommendations,Trust & Transparency,LLM_coder_1
P003,negative,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,explainability_of_recommendations,Trust & Transparency,LLM_coder_2
P003,suggestion,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.,progress_visualization_value,Engagement & Motivation,LLM_coder_1
P003,suggestion,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.,progress_visualization_value,Engagement & Motivation,LLM_coder_2
P004,positive,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,prediction_accuracy,AI Accuracy,LLM_coder_1
P004,positive,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,goal_setting_support,Engagement & Motivation,LLM_coder_2
P004,negative,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,adaptation_over_time,AI Accuracy,LLM_coder_1
P004,negative,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,adaptation_over_time,AI Accuracy,LLM_coder_2
P004,suggestion,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.,dashboard_layout,Usability,LLM_coder_1
P004,suggestion,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.,dashboard_layout,Usability,LLM_coder_2
P005,positive,The interface was clean and easy to navigate even on my first time using it without needing any tutorial or guidance.,goal_setting_support,Engagement & Motivation,LLM_coder_1
P005,positive,The interface was clean and easy to navigate even on my first time using it without needing any tutorial or guidance.,trust_building_through_data,Trust & Transparency,LLM_coder_2
P005,negative,I found the peer comparison feature demotivating because it made me feel behind even when I was doing well in my own terms.,adaptation_over_time,AI Accuracy,LLM_coder_1
P005,negative,I found the peer comparison feature demotivating because it made me feel behind even when I was doing well in my own terms.,adaptation_over_time,AI Accuracy,LLM_coder_2
P005,suggestion,Add more granular privacy controls so students can choose exactly which data points are used for predictions and recommendations.,transparency_of_predictions,Trust & Transparency,LLM_coder_1
